album	year	num	title	lyrics
Tales From The Kingdom Of Fife	2013	11	Wizards!	High in the Cairngorm Mountains\nAn ancient war still burns\nA magical missile shoots and fireball explodes\nThese are the spells of the wizards\nFighting the demon horde\nA secret battle for eternity\nWiiiiiizaaaards!\nAncient and powerful keepers of chaos\nWiiiiiizaaaards!\nCasting their magic over the mountains\nWiiiiiizaaaards!\nBrewing a potion in the dark tower\nWiiiiiizaaaards!\nGuardians of time\nFar from the past they travelled\nIn to the future they see\nThe crystal ball reveals all history\nThey see the coming battle\nAcross the galaxy\nWhere evil and good collide in a final war of steel\nWiiiiiizaaaards!\nAncient and powerful keepers of chaos\nWiiiiiizaaaards!\nCasting their magic over the mountains\nWiiiiiizaaaards!\nBrewing a potion in the dark tower\nWiiiiiizaaaards!\nGuardians of time\nWiiiiiizaaaards!\nAncient and powerful keepers of chaos\nWiiiiiizaaaards!\nCasting their magic over the mountains\nWiiiiiizaaaards!\nBrewing a potion in the dark tower\nWiiiiiizaaaards!\nGuardians of time\n
Space 1992: Rise Of The Chaos Wizards	2015	1	Infernus Ad Astra	In the distant future of the year 1992,\nWar has returned to the galaxy!\n
Space 1992: Rise Of The Chaos Wizards	2015	2	Rise Of The Chaos Wizards	Sanctus dominus\nInfernus ad astra\nSanctus dominus\nInfernus ad astra\nSanctus dominus\nInfernus ad astra\nSanctus dominus\nInfernus ad astra\nAcross the galaxy a new force of evil is rising\nWizards of Chaos fighting the throne of brave king of Dundee\nEntwined by mystic spells, they know where the sorcerer hidden\nImprisoned in ice on the planet of knights, the powerful heroes of Crail\nEons of warfare returning\nNo longer peace will survive\nThe intergalactic great empire of Fife will die\nFor the king we will ride\nTo the dark galactic skies\nTo defeat the foes\nWhen the Chaos Wizards rise\nNow the universe will burn\nEvil sorcerer returns\nTragic fate rages tonight\nChaos Wizards rise\nSanctus dominus\nInfernus ad astra\nSanctus dominus\nInfernus ad astra\nTen centuries ago brave heroes defeated the wizard\nNow Chaos reigns and evil returns to the kingdom of Fife\nWizard cultists rage - on dark wings of steel they are flying\nTo space they must go, great terror they sow, nothing can stand in their way\nThe space knights of Crail are defeated\nThe fortress of Triton is lost\nZargothrax rises once more from his prison of frost\nFor the king we will ride\nThrough the dark galactic skies\nTo defeat the foes\nWhen the Chaos Wizards rise\nNow the universe will burn\nEvil sorcerer returns\nTragic fate rages tonight\nChaos Wizards rise\nAnd lo, after centuries of frozen slumber I am free once more\nCosmic infinity courses through my veins\nMy body is ablaze with astral charge\nThe galaxy shall once again tremble before the might of Zargothrax\nFor the king we will ride\nThrough the dark galactic skies\nTo defeat the foes\nWhen the Chaos Wizards rise\nNow the universe will burn\nEvil sorcerer returns\nTragic fate rages tonight\nChaos Wizards rise\n
Space 1992: Rise Of The Chaos Wizards	2015	3	Legend Of The Astral Hammer	Slashing my way through an army of goblins on the dark side of the moon\nFar overhead lunar dragons are swarming, my hammer will be their doom\nAngus McFife the 13th my name, the scion of mighty Dundee\nIntergalactic great hero of steel, ruler of the whole galaxy\nWielding this ancestral weapon, the Hammer of Glory its name\nThe kingdom of Fife will forever proclaim\nLegend of the Astral Hammer\nForged in the heart of the celestial fire\nLegend of the Astral Hammer\nMinuscule goblin, impractical sword\nLegend of the Astral Hammer\nPowered by lasers entwined in a star\nLegend of the Astral Hammer\nCrystal enchantment of steel\nAeons ago the starlords descended Powerful unknown to man\nWith three epic weapons to safeguard from doom, concealing them far 'cross the land\nRelics of legend, relics of might, forged in a time before time\nFor thousands of years unfathomed unknown, deep in a mystical shrine\nDescendant of ultimate fighter\nNow battle a war in the stars\nDefending the kingdom from Demons of Mars\nNow Zargothrax rises once more\nTo threaten the force of the light\nAssemble the heroes of steel\nPrepare for the ultimate fight\n
Space 1992: Rise Of The Chaos Wizards	2015	4	Goblin King Of The Darkstorm Galaxy	I have returned from centuries of slumber, now the universe must burn\nI feel the power, yet still I thirst for more, ancient secrets I must learn\nI ride the twilight, in search of cosmic fire\nThe Goblin King knows my desire\nRegis! Kobalos! Cast unholy fire!\nGoblin King of the Darkstorm Galaxy\nRide on the wings of doom\nGrant me the power to fight my foes\nAnd defeat the lords of the moon\nThis magic crystal is the artifact you seek to unleash evil from the sky\nYou must find the portal, the crystal is the key...all universal life will die!\nDeep beneath Dundee, the mighty citadel\nThere lies a passageway to Hell\n
Space 1992: Rise Of The Chaos Wizards	2015	5	The Hollywood Hootsman	1,000 years ago a hero crossed the sea\nIn search of distant realms to claim his destiny,\nThe land of Unst was not enough he had to conquer more\nInto the west a hero quests, to far American shores!\nWith his mighty battle axe he slaughtered everything,\n'Til all of California did call the hero king!\nHe's the Hollywood hootsman!\nHail to hoots!\nMighty proud and standing tall,\nA legend to us all!\nHe's the Hollywood hootsman!\nHe's the king!\nRiding from the silver screen\ninto the battlefield!\nHe's the king of California....\nHoots!\nImmortal warrior with armor made from wolf,\nHis legend proves the centuries with the power of the hoots!\nHis prowess on the battlefield matched only on the stage,\nIn Hollywood he found his fame, the finest of his age!\nThe greatest movie star to ever walk the land,\nIf you ever meet this man I'm sure you'll understand!\nHe's the Hollywood hootsman!\nHail to hoots!\nMighty proud and standing tall,\nA legend to us all!\nHe's the Hollywood hootsman!\nHe's the king!\nRiding from the silver screen\ninto the battlefield!\nHe's the king of California....\nHoots!\nNow Angus calls for him to join the epic fight,\nOnce more these mighty warriors will battle side by side!\nHe's the Hollywood hootsman!\nHail to hoots!\nMighty proud and standing tall,\nA legend to us all!\nHe's the Hollywood hootsman!\nHe's the king!\nRiding from the silver screen\ninto the battlefield!\nHe's the Hollywood hootsman!\nHoots, hoots!\nMighty proud and standing tall,\nA legend to us all!\nHe's the Hollywood hootsman!\nHoots, hoots!\nRiding from the silver screen\ninto the battlefield!\nHe's the king of California....\nHoots!\n
Space 1992: Rise Of The Chaos Wizards	2015	6	Victorious Eagle Warfare	There was a time when legends of Crail ran true\nAll over, their majesty everyone knew\nBut now in the future, defeated by evil untold\nWe yearn for the knight from story of old\nA hero cannot be defeated\nSimply by making him die\nProletius will rise\nA hologram hero will fight\nVictorious eagle warfare\nSo glorious, riding high up in the sky\nVictorious eagle warfare\nBrave warriors questing hard until they die\nWith nothing above but the heavens above\nGuiding us on through the war\nEagle force\nInside the chamber of cryogenetical fire\nA magical wizard is doing a spell\nPowered by robots, a hologram coming to life\nTo stand at the side of the king of Fife\nThe galaxy knights are rising\nReborn from the ashes of Crail\nA force for the light\nTo whom we eternally hail\nVictorious eagle warfare\nSo glorious, riding high up in the sky\nVictorious eagle warfare\nBrave warriors questing hard until they die\nWith nothing above but the heavens above\nGuiding us on through the war\nEagle force\nMighty warriors of the galaxy\nYou have proven yourselves to be mighty indeed\nNow, who of you will join me in my Space Knights of Crail?\nVictorious eagle warfare\nSo glorious, riding high up in the sky\nVictorious eagle warfare\nBrave warriors questing hard until they die\nWith nothing above but the heavens above\nFight against power of evil corrupt\nGuiding us on through the war\nEagle force\n
Space 1992: Rise Of The Chaos Wizards	2015	7	Questlords Of Inverness, Ride To The Galactic Fortress!	The Questlords of Inverness ride\nFar far away, to the ultimate light\nTravelling throughout the time\nThe Questlords of Inverness ride\nTo Galactic Fortress!\nThey storm the universe in interstellar time\nFrom the town of Inverness beneath the ancient sign\nWarriors of power steel who hear galactic cry\nUnicorn defenders, unafraid to die\nZargothrax is riding on, with crystal key in hand\nNobody can stop him, bring death across the land\nQuestlords of Inverness, the time has come to fight\nRide to space battle with brave highland's might\nQuestlords arise, fight til we die\nFor the honour, the glory, the pride\nRide on the wind and hail to the king\nWhen the Questlords of Inverness ride\nMighty heroes quest to Mars to fight the demon horde\nUndead force of terror, will fall beneath the sword\nRaise the flag of Inverness, rally all the troops\nFight for Dundee and the power of Hoots\nUnicorn! Show me the way\nLead me to the ultimate fortress\nUnicorn! Reveal the truth\nOf the ancient crystal galaxy\n
Space 1992: Rise Of The Chaos Wizards	2015	8	Universe On Fire	I wanna set the universe on fire\nFeel it burn tonight\nSet the universe on fire\nThere's no end in sight\nBring me to the holy raging power\nWhere I find my destiny\nThe universe on fire\nYou're my guiding light\nCarrying the breath on fire within the lungs of steel\nSoaring to light the flame forged by cosmic ordeal\nAscending in mighty dragons with metal wings and claw\nIn a great battle foregone one thousand years ago\nNow lead me to the stars\nAtomic flame ignite my heart\nI wanna set the universe on fire\nFeel it burn tonight\nSet the universe on fire\nThere's no end in sight\nBring me to the holy raging power\nWhere I find my destiny\nThe universe on fire\nYou're my guiding light\nGliding across the sun to soak up all its might\nCharging my solar gun and prepare for epic fight\nQuesting through nebulas in search for crystal stone\nThat gives me the overdose of force to claim space throne\nIt is time, take up your arms\nNova bombs and plasma guns\nI wanna set the universe on fire\nFeel it burn tonight\nSet the universe on fire\nThere's no end in sight\nBring me to the holy raging power\nWhere I find my destiny\nThe universe on fire\nYou're my guiding light\nSet me on fire\nI wanna set the universe on fire\nFeel it burn tonight\nSet the universe on fire\nThere's no end in sight\nBring me to the holy raging power\nWhere I find my destiny\nThe universe on fire\nYou're my guiding light\nYou're my guiding light\nYou're my guiding light\n
Space 1992: Rise Of The Chaos Wizards	2015	9	Heroes (Of Dundee)	As word spread of the demon army invasion that was threatening Mars, mighty warriors of the entire galaxy began to assemble in preparation to fight for the power of the cosmic justice. Crystalline darkness was falling upon the hearts of the assembled host. After a thousand years of peace, the Intergalactic Space Empire of Fife was about to once again plunge into a bloody war, standing behind the banner of Angus McFife XIII. Riding his ancestral laserdragon, the brave prince of Dundee stood before his proud legions and raised the Hammer of Glory to the heavens.\nFly! On gigantic dragons made out of steel.\nStrike! With the Hammer of Glory, we will prevail\nKill! Our cosmical enemies with full force, blasting forth without remorse\nRage! With bold supersonic velocity\nTrust! In our lasers to storm 'cross the galaxy\nDie! For the universe that we are fighting for, to win the war, forevermore\nFor Dunkeld and Cowdenbeath, an epic war is fight\nWe are heroes, heroes of Dundee,\nWe are riding forth to free our galaxy\nWe are heroes, heroes of Dundee,\nWe are heroes, legends we will be!\nFear! Our troll mass destruction artillery.\nHear! Our battlecry echoing through the sphere\nRide! On the back of the dragons, we're standing proud, wrath unbound, we hold our ground\nFor Crail and for Aberdeen, an epic war is fight\nWe passed primordial black holes\nFought goblins and trolls on faraway stars\nTogether we dashed through infinity for honour and glory\nFrom Neptune to Mars to Mercury\nTo bring it all to an end, to make our final stand\nIn unity we rise, we will ascend to realms we must protect\nMighty hammer connects\nThe force to annihilate Zargothrax\nYes, mighty warriors! In the name of cosmic justice we ride.\nGlory will prevail this day...hail to the King of Dundee!\nWe are heroes, heroes of Dundee,\nNow the time has come that we'll make history\nWe are heroes, heroes of Dundee,\nWe are heroes, legends we will be!\n
Space 1992: Rise Of The Chaos Wizards	2015	10	Apocalypse 1992	And lo, led by the valiant hero Angus McFife XIII\nThe forces of justice assembled their armies in the skies above Mars\nIn preparation for the epic battle against the demon horde\nBut on planet Earth, a far more sinister machination was afoot\nIn the dwarven caverns beneath the mighty citadel of Dundee\nThe evil wizard Zargothrax began to recite the dread incantation\nWhich would unlock the Chaos Portal to the galactic nexus\nAs foretold in the dark prophecy of Anstruther countless centuries ago\nAs he placed the goblin king's crystal key into the altar before him\nAncient runes began to glow on the surface of the portal\nSoon the gateway would open and the elder god Korviliath\nOf the eighteenth hell dimension would be unleashed onto the galaxy\nThe countdown to universal annihilation had begun\nWarriors of planet Earth, hear my raging cry\nFor mighty Dundee, the demons will die\nYes, battle cruisers\nTo space we'll go\nDiscover new worlds\nAnd conquer galaxies\nAcross the skies of Mars, the demon wars begin\nTrust in your sword, this battle we'll win\nThe space knights of Crail are first to the fight\nClashing with lasers and power of might\nFly high through apocalypse skies\nFight for the world we must save\nLike tears of a unicorn lost in the rain\nChaos will triumph this day\nApocalypse 1992\nAt the speed of light the dwarven king arrives\nWith crystal laser battleaxe into the fight he rides\nPathetic dwarves\nYou are no match for my demon hordes\nLet battle commence\nIt's the rage, the cosmic rage\nThe cosmic rage of astral dwarves from Aberdeen\nFrom their mines they will arise and fight\nThe rage of the dwarves is tonight\nIt's the rage, the cosmic rage\nThe cosmic rage of astral dwarves from Aberdeen\nFrom their mines they will arise and fight\nThe rage of the dwarves is tonight\nMy ancestral demon army\nWill ride a cosmic sphere\nAnd liberate the multiverse\nFrom slavery and fear\nWith the power of the crystal\nFrom an ancient galaxy\nThe force of evil will prevail\nIt is my destiny\nFly high through apocalypse skies\nFight for the world we must save\nLike tears of a unicorn lost in the rain\nChaos will triumph this day\nFly high through apocalypse skies\nFight for the world we must save\nLike tears of a unicorn lost in the rain\nChaos will triumph this day\nApocalypse 1992\nFrom the caves beneath Dundee\nAncient hermit arrives\nA messenger to the war in the stars\nKorviliath is nigh\nDeep inside the Hootsman there lies a secret heart\nBarbarian is a cyborg powered by a neutron star\nFor centuries immortal he will quest in time and space\nBut now he must make sacrifice to save the human race\nThe only way to save the galaxy\nIs to destroy planet Earth and Aberdeen\nFaster than a laser bullet\nHootsman flies to Fife\nHe detonates his neutron\nDestroys all human life\nFly high through apocalypse skies\nFight for the world we must save\nLike tears of a unicorn lost in the rain\nChaos will triumph this day\nFly high through apocalypse skies\nFight for the world we must save\nLike tears of a unicorn lost in the rain\nChaos will triumph this day\nApocalypse\nWith a thunderous implosion the Earth was vaporised\nTearing a dimensional rift in the heavens\nUsing his last chance of power\nZargothrax plunged through the space portal\nVanishing into another reality\nAnd so Angus McFife XIII followed him into the wormhole\nFor the eternal glory of Dundee\nSanctus!\nDominus!\n
Space 1992: Rise Of The Chaos Wizards	2015	11	Dundax Aeterna	
Legends From Beyond The Galactic Terrorvortex	2019	1	Into The Terrorvortex Of Kor-Virliath	Between the cosmic wake of a thousand solar nightmares...Chaos will reign eternal!\n
Legends From Beyond The Galactic Terrorvortex	2019	2	The Siege Of Dunkeld (In Hoots We Trust)	Regis Dundoniensis\nFuror Apocalyptus\nMagus Calamitosus\nBellis Intergalactus\nRegis Dundoniensis\nFuror Apocalyptus\nMagus Calamitosus\nBellis Intergalactus\nAncient cosmic wormhole\nChaos lord arise\nI have arrived from the future\nInto a terrible past\nChaos and war on the plains of Dunkeld\nThe armies of darkness amassed\nIs this a twisted dimension?\nIs this true reality?\nA symbol of evil is flying once more\nAbove the proud spires of Dundee\nA burning black sun\nThe siege of Dunkeld has begun\nDefeat of the ancient town is nigh\nIn hoots we trust\nHorrifying fecal demons\nRising up out of the caverns below\nDark robotic astral zombies\nEating the peasants who live in Glasgow\nSiege engines of hell's creation\nBlasting the walls with unholy fire\nUndead forces marching onward\nArmy of evil so tragic and dire\nLook up to the sky\nA glorious battlecry\nThe forces of justice call his name\nIn hoots we trust\nWe trust\nBy the power of the Holy King of Unst\nHail hoots\nFor the glory of Dundee\nTo win this epic battle, in his power we must trust to set us free\nConfutatis Maledictis Caledoniae\nIn hoots we trust\nI am the Bane of Cowdenbeath\nThe Scourge of Auchtermuchty\nArch-Foe of the Questlords of Inverness\nCome face me in battle, Angus\nAnd prepare to meet thy doom!\nYour dark dominion has corrupted Dundee\nWith a swing of my hammer I'll end this misery\nLegendary battle\nEpic war is fight\nWhat mystic enchantment has Zargothrax spun?\nMy weapon has no effect, this fight can't be won\nPathetic mortal scum!\nIn this dimension, your hammer has no power over me\nNow, kneel before your Emperor\nKneel before... Your God!\nIn hoots we trust\nWe trust\nBy the power of the Holy King of Unst\nHail hoots\nFor the Glory of Dundee\nTo win this epic battle, in his power we must trust to set us free\nIn hoots we trust\nBy the power of the Holy King of Unst\nFor the Glory of Dundee\nTo win this epic battle, in his power we must trust to set us free\nIn hoots we trust\nIn hoots we trust\nWe trust\nBy the power of the Holy King of Unst\nHail hoots\nFor the Glory of Dundee\nTo win this epic battle, in his power we must trust to set us free\nIn hoots we trust\nBy the power of the Holy King of Unst\nFor the Glory of Dundee\nTo win this epic battle, in his power we must trust to set us free\nIn hoots we trust\n
Legends From Beyond The Galactic Terrorvortex	2019	3	Masters Of The Galaxy	Far to the East, an army of evil is rising\nDeathknights of Crail\nUnder the spell of sorcerer's twisted design\nTo darkness we hail\nWith their blades of black fire they enslave the land\nObeying their master's will\nThe force of their terror no mortal can stand\nKnights of evil, kill\nLong ago in the distant future, they were a force for the light\nBut now in the ancient times, they slaughter peasants by night\nWe are the Masters of the Galaxy\nWe're the Lords of Space Dundee\nThe destroyers of reality\nOn a quest for all eternity\nWe're the Masters of the Galaxy\nWe're the Lords of Space Dundee\nThe destroyers of reality\nKnights of Evil, arise\nLeading the charge is the mightiest scion of evil\nMighty indeed\nProletius his name, grandmaster of death and decay\nWorship or bleed\nIn another dimension he fought for the king\nAnd the glory of all Dundee\nNow corrupted by darkness he kills everything\nMwah ha ha ha\nStabbed through the heart with the Knife of Evil, it infected his brain\nAnti-Telharsic power now flowing through his veins\nWe are the Masters of the Galaxy\nWe're the Lords of Space Dundee\nThe destroyers of reality\nOn a quest that's never ending\nWe're the Masters of the Galaxy\nWe're the Lords of Space Dundee\nThe destroyers of reality\nKnights of Evil, arise\nGrand Master Proletius! Dispatch your Knights of Evil to slaughter more peasants in Auchtermuchty!\nAs you command, Lord Zargothrax. Deathknights of Crail... to battle!\nWe are the Masters of the Galaxy\nWe're the Lords of Space Dundee\nThe destroyers of reality\nOn a quest for all eternity\nWe're the Masters of the Galaxy\nWe're the Lords of Space Dundee\nThe destroyers of reality\nKnights of Evil, arise\n
Legends From Beyond The Galactic Terrorvortex	2019	4	The Land Of Unicorns	I have arrived, in a world ruled by chaos and evil\nDarkness enfolds the land that I once called my home\nLost in the realm of an ancient and powerful wizard\nNow I must quest to take back the Crystalline Throne\nLegends speak of a glen\nWhere truth and justice still reign\nRide far away cross the mighty River Tay\nOver mountains into the unknown\nFollow your heart, let it guide you through the dark\nTo the Land of Unicorns\nFollow the path, laid down by the forces of justice\nOver the stones, and into the mountains of fire\nFighting with trolls, and undead defenders of chaos\nOnwards I ride, in search of the land I desire\nDescend out of the mists\nThe valley of Achnasheen\nRide far away cross the mighty River Tay\nOver mountains into the unknown\nFollow your heart, let it guide you through the dark\nTo the Land of Unicorns\nThe mists are clearing now\nI see the realm before my eyes\nRalathor the warrior greets me to the mystic land\nThe Land of Unicorns\nRide far away cross the mighty River Tay\nOver mountains into the unknown\nFollow your heart, let it guide you through the dark\nTo the Land of Unicorns\n
Legends From Beyond The Galactic Terrorvortex	2019	5	Power Of The Laser Dragon Fire	Remember the days long ago, when we fought side by side for the glory\nBattling foes of Dundee in a war in the sky\nNow in this valley we hide, the last hope in this desperate story\nOnwards into the unknown you must quest forever\nIn an alternate dimension\nUnder spell of evil warlock\nThere's no chance to return to our home\nNow we're far away, lost in a different reality\nSlaying dragons\nFighting to save the Kingdom of Fife\nWe are warriors\nWielding the hammer so glorious\nFighting with the power of the laser dragon fire\nI have discovered a scroll, telling tales of equipment for wizard\nA jet pack of ultimate steel with the power to fly\nIt lies in a cave to the north guarded by unholy creatures\nBut if your quest is to fail we'll all die together\nWith the boost of mighty jet pack\nInto outer space you can arise\nAnd find your destiny once more\nNow we're far away, lost in a different reality\nSlaying dragons\nFighting to save the Kingdom of Fife\nWe are warriors\nWielding the hammer so glorious\nFighting with the power of the laser dragon fire\nRide forth, mighty warrior, beyond the crystalline gates of the Land of Unicorns, into the great plague lands of Caithness... there you must seek your true destiny. Many perils await you on your journey, but victorious you will return with the power to defeat Zargothrax for all eternity!\nRemember the heroes\nWho died in the war of Space Dundee\nNow lost in another galaxy\nFar away, lost in a different reality\nOne more final battle to save the Kingdom of Fife\nFar away, lost in a different reality\nSlaying dragons\nFighting to save the Kingdom of Fife\nWe are warriors\nWielding the hammer so glorious\nFighting with the power of the\nAncient holy tragic raging laser dragon fire\n
