album	year	num	title	lyrics
Women In Uniform	1980	1	Women In Uniform	Beehive hairdo, 45 on the hip\nPatrolwoman Saunders, don't you give her no whip\nTook me to the station for a breathtest\nthen back to the bedroom for some house-arrest\nWomen in uniform, sometimes they look so cold\nWomen in uniform, but, Oh! They feel so warm\nComing back to London on a 747\nStewardess made me feel like I'm in heaven\nLooking up the aisle to see what I could see\nShe leaned over said; Give it to me\nWhite apron, brown leather shoes\nThe nurse at the clinic left my heart all bruised\nGave me a massage, sprained my right\nNow she takes my temperature every night\nWomen in uniform, Women in uniform\nWomen in uniform, Women in uniform\nCommando raid on the Lebanese border\nSergeant Anita, she gives the order\nKhaki jacket and a love gun\nBaby, I surrender, let's have some fun\nWomen in uniform, Women in uniform\nWomen in uniform, Women in uniform\nWomen in uniform, Khaki, white and blue\nWomen in uniform, coming after you\nWomen, women, Women in uniform\nWomen, women, Women in uniform\n
Women In Uniform	1980	2	Invasion	The Vikings are coming\nYou'd better get ready for we're having a fight\nThe long boats are coming\nThey're looking like dragons in the dead of the night\nMuster the men from all the villages\nYou'd better get ready to fight with your enemies\nBeacons are burning\nI'm giving the word to get ready to fight\nThe battle is nearing\nYou'd better get ready to fight for your lives\nThe Norsemen are coming\nThe Norsemen are coming\nThe warnings are given\nThe Norsemen are coming\nRaping and pillaging\nRobbing and looting the land\nViking raiders from afar\n
Killers	1981	1	The Ides Of March	
Killers	1981	2	Wrathchild	I was born into a scene of angriness and greed, and dominance and persecution.\nMy mother was a queen, my dad I've never seen, I was never meant to be.\nAnd now I spend my time looking all around,\nFor a man that's nowhere to be found.\nUntil I find him I'm never gonna stop searching,\nI'm gonna find my man, gonna travel around.\n'Cos I'm a wrathchild, well I'm a wrathchild.\nYeah I'm a wrathchild. I'm coming to get you, oooh yeah.\nSay it doesn't matter ain't nothin' gonna alter the course of my destination.\nI know I've got to find some serious piece of mind, or I know I'll go crazy.\nBut now I spend my time looking all around,\nFor a man thats nowhere to be found.\nUntil I find him I'm never gonna stop searching,\nI'm gonna find my man, gonna travel around.\n
Killers	1981	3	Murders In The Rue Morgue	I remember it as plain as day\nAlthough it happened in the dark of the night.\nI was strolling through the streets of Paris\nAnd it was cold it was starting to rain.\nAnd then I heard a piercing scream\nAnd I rushed to the scene of the crime\nBut all I found was the butchered remains\nOf two girls lay side by side.\nMurders in the Rue Morgue\nSomeone call the Gendarmes\nMurders in the Rue Morgue\nRun before the killers go free\nThere's some people coming down the street\nAt last there's someone heard my call\nI can't understand why they're pointing at me\nI never done nothing at all.\nBut I must have got some blood on my hands\nBecause everyone's shouting at me\nI can't speak French so I couldn't explain\nAnd like a fool I started running away.\nMurders in the Rue Morgue\nSomeone call the Gendarmes\nMurders in the Rue Morgue\nAm I ever gonna be free.\nAnd now I've gotta get away from the arms of the law.\nAll France is looking for me.\nI've gotta find my way across the border for sure\nDown the south to Italy.\nMurders in the Rue Morgue\nSomeone call the Gendarmes\nMurders in the Rue Morgue\nI'm never going home.\nWell I made it to the border at last\nBut I can't erase the scene from my mind\nAnytime somebody stares at me, well\nI just start running blind\nWell I'm moving through the shadows at night\nAway from the staring eyes\nAny day they'll be looking for me\n'Cause I know I show the signs of...\nMurders in the Rue Morgue\nRunning from the Gendarmes\nMurders in the Rue Morgue\nRunning from the arms of the law\nMurders in the Rue Morgue\nRunning from the Gendarmes\nMurders in the Rue Morgue\nAm I ever gonna be free\nIt took so long and I'm getting so tired\nI'm running out of places to hide\nShould I return to the scene of the crime\nWhere the two young victims died\nIf I could go to somebody for help\nIt'd get me out of trouble for sure\nBut I know that it's on my mind\nThat my doctor said I've done it before.\nMurders in the Rue Morgue\nThey're never gonna find me\nMurders in the Rue Morgue\nI'm never going home.\n
Killers	1981	4	Another Life	As I lay here lying on my bed, sweet voices come into my head.\nOh what it is, I wanna know, please won't you tell me it's got to go.\nThere's a feeling that's inside me, telling me to get away.\nBut I'm so tired of living, I might as well end today.\n
Killers	1981	5	Genghis Khan	
Killers	1981	6	Innocent Exile	My life is so empty, nothing to live for.\nMy mind is all confusion, 'cos I defied the law.\nWhen you weren't there to help me, I lost my mind and ran.\nI never had no trouble before this all began.\nMy life is so empty, nothing to live for.\nMy mind is all confusion, 'cos I defied the law.\nWhen you weren't there to help me, I lost my mind and ran.\nI never had no trouble before this all began.\nI'm running away, no where to go.\nI'm lost and tired and I just don't know. Yeah...\nThey say I killed a woman, they know it isn't true.\nThey're just trying to frame me, and all because of you. Yeah...\n
Killers	1981	7	Killers	You walk through the subway, his eyes burn a hole in your back,\nA footstep behind you, he lunges prepared for attack.\nScream for mercy, he laughs as he's watching you bleed,\nKiller behind you, his blood lust defies all his needs.\nMy innocent victims are slaughtered with wrath and despise,\nThe mocking religion of hatred that burns in the night.\nI have no one, I'm bound to destroy all this greed,\nA voice inside me compelling to satisfy me.\nI can see what a life's meant to be,\nAnd you'll never know how I came to forsee, see, see.\nMy faith in believing is stronger than lifelines and ties,\nWith the glimmer of metal my moment is ready to strike.\nDeath call arises, a scream breaks the still of the night,\nAnother tomorrow, remember to walk in the light!\nI have found you, and now there is no place to run,\nExcitement shakes me, oh God help me what have I done?!\nOooh yeah, I've done it!\nYEEEEAAAAAAAAHHHH!\nYou walk through the subway, my eyes burn a hole in your back,\nA footstep behind you, he lunges prepared for attack.\nScream for mercy, he laughs as he's watching you bleed,\nKiller behind you, my blood lust defies all my needs.\nOooh look out, I'm coming for you!\nAhahahaha!\n
Killers	1981	8	Prodigal Son	Listen to me Lamia, listen to what I've got to say.\nI've got these feelings, and they won't go away.\nI've got these fears inside that'll bring me to my knees.\nOh help me Lamia or I'm sure I'll die, oh please.\nI feel unsettled, now I know that I've done wrong.\nI've messed around with mystic things and magic for too long.\nI feel I'm being paid with this nightmare inside me,\nThe devil's got a hold on my soul and he just won't let me be.\nI'm on my knees, oh help me please.\nI'm on my knees, help me please.\nOh Lamia please try to help me.\nThe devil's got a hold of my soul and he won't let me be.\nLamia I've got this curse, I'm turning to bad.\nThe devil's got a hold of my soul, and it's driving me mad. Oh\nOh Lamia please try to help me.\nThe devil's got a hold of my soul and he won't let me be.\nLamia I've got this curse, I'm turning to bad.\nThe devil's got a hold of my soul, and it's driving me mad. Oh\n
Killers	1981	9	Purgatory	Thinking of an age old dream,\nPlaces I have never seen,\nFantasies lived times before.\nI split my brain, melt through the floor.\nOver clouds my mind will fly,\nForever now I can't think why.\nMy body tries to leave my soul.\nOr is it me, I just don't know.\nMemories rising from the past,\nThe future's shadow overcast.\nSomething's clutching at my head,\nThrough the darkness I'll be led.\nOh another time, another place.\nOh another smile on another face.\nWhen you see me floating up beside you,\nYou get the feeling that all my love's inside of you.\nPlease take me away, take me away, so far away.\nPlease take me away, take me away, so far away.\nPlease take me away, take me away, so far away.\nThinking of an age old dream,\nPlaces I have never seen,\nFantasies lived times before.\nI split my brain, melt through the floor.\nOver clouds my mind will fly,\nForever now I can't think why.\nMy body tries to leave my soul.\nOr is it me, I just don't know.\nMemories rising from the past,\nThe future's shadow overcast.\nSomething's clutching at my head,\nThrough the darkness I'll be led.\nOh another time, another place.\nOh another smile on another face.\nWhen you see me walking up beside you,\nYou get the feeling that all my love's inside of you.\nPlease take me away, take me away, so far away.\nPlease take me away, take me away, so far away.\nPlease take me away, take me away, so far away.\n
Killers	1981	10	Twilight Zone	She lays in bed at night and that is when I make my call.\nBut when she stares at me, she can't see nothing at all,\nBecause, you see, I can't take no shape or form.\nIt's been three long years since I've been gone.\nI can't get used to purgatory, you know it really makes me cry.\nI'll never know the reason why I had to go.\nOh, oh, I'm crying,\nOh, oh, oh, deep inside of me.\nOh, oh, oh, can't you see me?\nAh can't you see me?\nI'm looking forward to her spirit coming over to me.\nI feel tempted to bring her over to see just what it's\nLike to be hanging on the other side.\nI feel so lonely, it's a long time since I died.\nI try to show her that she's never gonna be alone,\nBecause my spirit is imprisoned in the twilight zone.\nOh, oh, I'm crying,\nOh, oh, oh, deep inside of me.\nOh, oh, oh, can't you hear me?\nAh can't you see me?\n
Killers	1981	11	Drifter	Walk away!\nLook out now, baby won't you take me away,\nSittin' here its gonna be a new day.\nGotta sing my song and I can't go wrong,\nGotta keep on roaming, gotta sing my song.\nWhat you feeling when you hold me tight?\nI'm gonna cuddle up with you tonight, gonna get you feeling so secure.\nListen child don't you see there's a cure?\nAnywhere got to get you away, feels so good think it's gonna be a new day.\nI'm gonna get my song till I can't go on,\nI'm gonna keep on roaming gonna sing my song.\nI want you to sing it, sing it, sing it, sing it along.\nI want you to sing it, sing it, sing it, sing it along.\n
The Number Of The Beast	1982	1	Invaders	Longboats have been sighted the evidence of war has begun\nMany Nordic fighting men their swords and shields all gleam in the sun\nCall to arms defend yourselves get ready to stand and fight for your lives\nJudgement day has come around so be prepared don't run stand your ground\nThey're coming in from the sea\nthey've come the enemy\nbeneath the blazing sun\nthe battle has to be won\nInvaders ... Pillaging\nInvaders ... Looting\nSet ablaze the campfires alert the other men from inland\nWarning must be given there's not enough men here for a stand\nThe Vikings are too many too powerful to take on our own\nWe must have reinforcements we cannot fight this battle alone\nThey're coming over the hill\nthey've come to attack\nthey're coming in for the kill\nthere's no turning back\nInvaders ... Fighting\nInvaders ... Marauding\nAxes grind and maces clash as wounded fighters fall to the ground\nSevered limbs and fatal woundings bloody corpses lay all around\nThe smell of death and burning flesh the battle weary fight to the end\nThe Saxons have been overpowered victims of the mighty Norsemen\nYou'd better scatter and run\nthe battle's lost and not won\nyou'd better get away\nto fight another day\nInvaders ... Raping\nInvaders ... Plundering\n
The Number Of The Beast	1982	2	Children Of The Damned	He's walking like a small child\nBut watch his eyes burn you away\nBlack holes in his golden stare\nGod knows he wants to go home\nChildren of the damned\nChildren of the damned\nChildren of the damned\nChildren of the damned\nHe's walking like a dead man\nIf he had lived he would've crucified us all\nNow he's standing on his last step\nHe thought oblivion, well, it beckons us all\nChildren of the damned\nChildren of the damned\nChildren of the damned\nChildren of the damned\nNow it's burning his hands, he's turning to laugh\nSmiles as the flame sears his flesh\nMelting his face screaming in pain\nPeeling the skin from his eyes\nWatch him die according to plan\nHe's dust on the ground. What did we learn?\nYou're children of the damned\nYour back's against the wall\nYou turn into the light\nYou're burning in the night\nYou're children of the damned\nLike candles watch them burn\nBurning in the light\nYou'll burn again tonight\nChildren of the damned\n
The Number Of The Beast	1982	3	The Prisoner	I'm on the run, I kill to eat\nI'm starving now, feeling dead on my feet\nGoing all the way, I'm natures beast\nDo what I want and do as I please\nRun - Fight - To breathe - It's tough\nNow you see me now you don't\nBreak the walls I'm coming out\nNot a prisoner I'm a free man\nAnd my blood is my own now\nDon't care where the past was\nI know where I'm going ...out!\nIf you kill me it's self defense\nAnd if I kill ya' then I call it vengeance\nSpit in your eye I will defy\nYou'll be afraid when I call out your name\nRun - Fight - To breathe - It's gonna be tough\nNow you see me now you don't\nBreak the walls I'm coming out\nNot a prisoner I'm a free man\nAnd my blood is my own now\nDon't care where the past was\nI know where I'm going\nI'm not a number I'm a free man\nLive my life where I want to\nYou'd better scratch me from your black book\nCause' I'll run rings around you\n
The Number Of The Beast	1982	4	22 Acacia Avenue	If you're feeling down depressed and lonely\nI know a place where we can go\n22 Acacia Avenue meet a lady that I know\nSo if you're looking for a good time\nAnd you're prepared to pay the price\nFifteen quid is all she asks for\nEverybody's got their vice\nIf you're waiting for a long time for the rest to do their piece\nYou can tell her that you know me and you might even get it free\nSo any time you're down the East End don't you hesitate to go\nYou can take my honest word for it she'll teach you more than you can know\nCharlotte can't you get out from all of this madness\nCan't you see it only brings you sadness\nWhen you entertain your men don't you know the risk of getting disease\nSome day when you're reaching the age of forty\nI bet you'll regret the days when you were laying\nNobody then will want to know\nYou won't have any beautiful wares to show any more\n22 the avenue that's the place where we all go\nYou will find it's warm inside the red light's burning bright tonight\nCharlotte isn't it time you stopped this mad life\nDon't you ever think about the bad times\nWhy do you have to live this way\nDo you enjoy your lay or is it the pay\nSometimes when you're strolling down the avenue\nThe way you walk it makes men think of having you\nWhen you're walking down the street\nEverybody stops and turns to stare at you\n22 the avenue that's the place where we all go\nYou will find it's warm inside the red light's burning bright tonight\nBeat her mistreat her do anything that you please\nBite her excite her make her get down on her knees\nAbuse her misuse her she can take all that you've got\nCaress her molest her she always does what you want\nYou're running away don't you know what you're doing\nCan't you see it'll lead you to ruin\nCharlotte you've taken your life and you've thrown it away\nYou believe that because what you're earning\nYour life's good don't you know that you're hurting\nAll the people that love you don't cast them aside\nAll the men that are constantly drooling\nIt's no life for you stop all that screwing\nYou're packing your bags and you're coming with me\n
The Number Of The Beast	1982	5	The Number Of The Beast	"Woe to you, Oh Earth and Sea, for the Devil sends the\nbeast with wrath, because he knows the time is short...\nLet him who hath understanding reckon the number of the\nbeast for it is a human number, its number is Six hundred and\nsixty six."\nI left alone my mind was blank\nI needed time to think to get the memories from my mind\nWhat did I see can I believe that what I saw\nthat night was real and not just fantasy\nJust what I saw in my old dreams were they\nreflections of my warped mind staring back at me\n'Cos in my dream it's always there the evil face that twists my mind\nand brings me to despair\nThe night was black was no use holding back\n'Cos I just had to see was someone watching me\nIn the mist dark figures move and twist\nWas this all for real or some kind of hell\n666 the number of the beast\nHell and fire was spawned to be released\nTorches blazed and sacred chants were praised\nAs they start to cry hands held to the sky\nIn the night the fires burning bright\nThe ritual has begun Satan's work is done\n666 the number of the beast\nSacrifice is going on tonight\nThis can't go on I must inform the law\nCan this still be real or just some crazy dream\nBut I feel drawn towards the evil chanting hordes\nThey seem to mesmerise me ... can't avoid their eyes\n666 the number of the beast\n666 the one for you and me\nI'm coming back I will return\nAnd I'll possess your body and I'll make you burn\nI have the fire I have the force\nI have the power to make my evil take it's course\n
The Number Of The Beast	1982	6	Run To The Hills	White man came across the sea\nHe brought us pain and misery\nHe killed our tribes, he killed our creed\nHe took our game for his own need\nWe fought him hard we fought him well\nOut on the plains we gave him hell\nBut many came too much for Cree\nOh will we ever be set free?\nRiding through dust clouds and barren wastes\nGalloping hard on the plains\nChasing the redskins back to their holes\nFighting them at their own game\nMurder for freedom's a stab in the back\nWomen and children the cowards attack\nRun to the hills, run for your lives\nRun to the hills, run for your lives\nSoldier blue in the barren wastes\nHunting and killing's a game\nRaping the women and wasting the men\nThe only good Indians are tame\nSelling them whiskey and taking their gold\nEnslaving the young and destroying the old\nRun to the hills,\nrun for your lives.\nRun to the hills,\nrun for your lives.\nYeah oh ah!\nRun to the hills,\nrun for your lives.\nRun to the hills,\nrun for your lives.\nRun to the hills,\nrun for your lives.\nRun to the hills,\nrun for your lives.\n
The Number Of The Beast	1982	7	Gangland	Shadows may hide you but also may be your grave\nYou're running today maybe tomorrow you'll be saved\nYou pray for daylight to save you for a while\nYou wonder if your children will face the killer's smile\nDead men - tell no tales\nIn Gangland - murders up for sale\nDead men - tell no tales\nIn Gangland - where jail birds die\nFace at the window leers into your own\nBut it's only your reflection still you tremble in your bones\nHow long can you hide? How long 'till they come?\nA rat in a trap but you've got to survive\nOnce you were glad to be free for a while\nThe air tasted good and the world was your friend\nThen came the day when the hard times began\nNow you're alone but alive for how long?\nDead men - tell no tales\nIn Gangland - murders up for sale\nDead men - tell no tales\nIn Gangland - where jail birds die\nA knife at your throat another body on the pile\nA contract to keep and it's service with a smile\nMurder for vengeance or murder for gain\nDeath on the streets or a blacked out jail\nDead men - tell no tales\nIn Gangland - murders up for sale\nDead men - tell no tales\nIn Gangland - where jail birds die\nIn Gangland you tell no tales\n
The Number Of The Beast	1982	8	Total Eclipse	Cold as steel the darkness waits its hour will come.\nA cry of fear from our children worshipping the sun.\nMother natures' black revenge on those who wasted her life.\nWar babies in the garden of Eden,\nShall turn our ashes to ice.\nSunrise has gone, freezing up the fires.\nSunrise has gone, numbing our desires.\nAround the world the people stop,\nWith terror stricken eyes.\nA shadow cast upon them all,\nTo crush them like a fly.\nIn the icy rain and whiplashed seas,\nThere's nowhere left to run.\nThe hammer blows of winter fall like a hurricane.\nSunrise has gone, freezing up the fires.\nSunrise has gone, numbing our desires.\nAround the world the nations wait,\nFor some wise word from their leading light.\nYou know it's not only madmen who listen to fools.\nIs this the end, the millions cried,\nClutching their riches as they died.\nThose who survive must weather the storm.\nGone are the days when man looked down.\nThey've taken away his sacred crown.\nTo be set free, it took so long.\nIt's not journey's end, it's just begun.\n
The Number Of The Beast	1982	9	Hallowed Be Thy Name	I'm waiting in my cold cell when the bell begins to chime\nReflecting on my past life and it doesn't have much time\n'Cause at 5 o'clock they take me to the gallows pole\nThe sands of time for me are running low\nWhen the priest comes to read me the last rites\nI take a look through the bars at the last sights\nOf a world that has gone very wrong for me\nCan it be that there's some sort of an error\nHard to stop the surmounting terror\nIs it really the end not some crazy dream?\nSomebody, please tell me that I'm dreaming\nIt's not easy to stop from screaming\nBut words escape me when I try to speak\nTears, they flow but why am I crying?\nAfter all I am not afraid of dying\nDon't I believe that there never is an end?\nAs the guards march me out to the courtyard\nSomebody calls from a cell, "God be with you!"\nIf there's a god, why has he let me go?\nAs I walk all my life drifts before me\nAnd though the end is near I'm not sorry\nCatch my soul 'cause it's willing to fly away\nMark my words believe my soul lives on\nDon't worry now that I have gone\nI've gone beyond to seek the truth\nWhen you know that your time is close at hand\nMaybe then you'll begin to understand\nLife down here is just a strange illusion\nYeah, yeah, yeah,\nHallowed be thy name\nYeah, yeah, yeah,\nHallowed be thy name\n
Piece Of Mind	1983	1	Where Eagles Dare	It's snowing outside the rumbling sound\nof engines roar in the night,\nThe mission is near the confident men\nare waiting to drop from the sky.\nThe Blizzard goes on but still they must fly\nNo one should go where eagles dare.\nBavarian alps that lay all around\nthey seem to stare from below,\nThe enemy lines a long time passed\nare lying deep in the snow.\nInto the night they fall through the sky\nNo one should fly where eagles dare.\nThey're closing in the fortress is near\nit's standing high in the sky,\nThe cable car's the only way in\nit's really impossible to climb.\nThey make their way but maybe too late\nThey've got to try to save the day.\nThe panicking cries the roaring of guns\nare echoing all around the valley,\nThe mission complete they make to escape\naway from the Eagles Nest.\nThey dared to go where no one would try\nthey chose to fly where eagles dare.\n
Piece Of Mind	1983	2	Revelations	"O God of Earth and Altar,\nBow down and hear our cry,\nOur earthly rulers falter,\nOur people drift and die,\nThe walls of gold entomb us,\nThe swords of scorn divide,\nTake not thy thunder from us,\nTake away our pride."\nJust a babe in a black abyss,\nNo reason for a place like this,\nThe walls are cold and souls cry out in pain,\nAn easy way for the blind to go,\nA clever path for the fools who know\nThe secret of the Hanged Man - the smile of his lips.\nThe light of the Blind - you'll see,\nThe venom tears my spine,\nThe Eyes of the Nile are opening - you'll see.\nShe came to me with a serpent's kiss,\nAs the Eye of the Sun rose on her lips,\nMoonlight catches silver tears I cry,\nSo we lay in a black embrace,\nAnd the Seed is sown in a holy place\nAnd I watched, and I waited for the Dawn.\nThe light of the Blind - you'll see,\nThe venom that tears my spine,\nThe Eyes of the Nile are opening - you'll see.\nGo\nBind all of us together,\nAblaze with Hope and Free,\nNo storm or heavy weather\nWill rock the boat you'll see.\nThe time has come to close your eyes\nAnd still the wind and rain,\nFor the one who will be King\nIs the Watcher in the Ring.\nIt is You.\nIt is You.\n
Piece Of Mind	1983	3	Flight Of Icarus	As the sun breaks, above the ground,\nAn old man stands on the hill.\nAs the ground warms, to the first rays of light\nA birdsong shatters the still.\nHis eyes are ablaze,\nSee the madman in his gaze.\nFly on your way, like an eagle,\nFly as high as the sun,\nOn your way, like an eagle,\nFly and touch the sun.\nNow the crowd breaks and a young boy appears\nLooks the old man in the eye\nAs he spreads his wings and shouts at the crowd\nIn the name of God my father I fly.\nHis eyes seem so glazed\nAs he flies on the wings of a dream.\nNow he knows his father betrayed\nNow his wings turn to ashes to ashes his grave\nFly, on your way, like an eagle,\nFly as high as the sun,\nOn your way, like an eagle,\nFly as high as the sun.\nOn your way, like an eagle,\nFly, touch the sun\nOn your way, like an eagle,\nFly\nFly as high as the sun.\n
Piece Of Mind	1983	4	Die With Your Boots On	Another prophet of disaster\nWho says the ship is lost,\nAnother prophet of disaster\nLeaving you to count the cost.\nTaunting us with visions,\nAfflicting us with fear,\nPredicting war for millions,\nIn the hope that one appears.\nNo point asking when it is,\nNo point asking who's to go,\nNo point asking what's the game,\nNo point asking who's to blame,\n'Cause if you're gonna die, if you're gonna die,\n'Cause if you're gonna die, if you're gonna die,\nIf you're gonna die, if you're gonna die,\nIf you're gonna die, if you're gonna die,\nIf you're gonna die, die with your boots on,\nIf you're gonna try, well, stick around,\nGonna cry, just move along,\nIf you're gonna die, you're gonna die.\nIf you're gonna die, die with your boots on,\nIf you're gonna try, well, stick around,\nGonna cry, just move along,\nIf you're gonna die, you're gonna die.\n13 the beast is rising,\nThe Frenchman did surmise,\nThrough earthquakes and starvation,\nThe warlord will arise,\nTerror, death, destruction,\nPour from the eastern sands,\nBut the truth of all predictions\nIs always in your hands.\nNo point asking when it is,\nNo point asking who's to go,\nNo point asking what's the game,\nNo point asking who's to blame,\n'Cause if you're gonna die, if you're gonna die,\n'Cause if you're gonna die, if you're gonna die,\nIf you're gonna die, if you're gonna die,\nIf you're gonna die, if you're gonna die,\nIf you're gonna die, die with your boots on,\nIf you're gonna try, well, stick around,\nGonna cry, just move along,\nIf you're gonna die, you're gonna die.\nYou're gonna die, die with your boots on,\nIf you're gonna try, well, stick around,\nGonna cry, just move along,\nIf you're gonna die, you're gonna die.\nThey die with their boots on,\nYes, they die.\nThe day, they die with their boots on\nThe day we die, we die, we die, we die, we die\nNo point asking when it is,\nNo point asking who's to go,\nNo point asking what's the game,\nNo point asking who's to blame,\n'Cause if you're gonna die, if you're gonna die,\n'Cause if you're gonna die, if you're gonna die,\nIf you're gonna die, if you're gonna die,\nIf you're gonna die, if you're gonna die,\nIf you're gonna die, die with your boots on,\nIf you're gonna try, try, stick around,\nGonna cry, just move along,\nIf you're gonna die, you're gonna die.\nIf you're gonna die, die with your boots on,\nIf you're gonna try, well, stick around,\nGonna cry, just move along,\nIf you're gonna die, you're gonna die.\nDie!\n
